title,company,location,link
2021년도 상반기 한전KDN 신입사원,한전KDN,대한민국,https://kr.indeed.com/viewjob?jk=927f2dac5dd73d7b
"빅데이터, 인공지능(AI) 외 신입/경력 인턴",스칼라웍스,대한민국,https://kr.indeed.com/viewjob?jk=dfb20fa220f3c478
데이터 분석 인턴(체험형),네이버,서울,https://kr.indeed.com/viewjob?jk=3dd55c5b6662b04c
2021 토스 전 계열사 대규모,비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=39e99c8ed1d40a8f
경영전략/Data Scientist 경력인재 - 글로벌 우량대기업,에스에프인촌,서울,https://kr.indeed.com/viewjob?jk=26d797dfc9b28ab2
직원,오송첨단의료산업진흥재단,청주 흥덕구,https://kr.indeed.com/viewjob?jk=e4fccfd80efcd516
2021년 각 부문별 인재,한미헬스케어,서울 송파구,https://kr.indeed.com/viewjob?jk=43bbc097171fcfb3
2021년 광학솔루션사업부 수시 Inno-STEP(연계형 인턴십),LG이노텍,경기도 안산,https://kr.indeed.com/viewjob?jk=1a78e2314b6c0ad4
2021년 2분기 에이비엘생명보험 신입/경력/인턴 직원,ABL생명보험,서울 영등포구,https://kr.indeed.com/viewjob?jk=50a4d23577c58924
"AE, Staff",Synopsys,경기도 성남,https://kr.indeed.com/viewjob?jk=942daa7c56dc87ea
[시스템팀] 시스템 엔지니어,심플렉스,고양 일산동구,https://kr.indeed.com/viewjob?jk=cab21e996b418910
DX(Digital Transformation)분야 경력사원 (법인Staff),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=bad481b2aa871f5a
소프트웨어 개발자(python),화인기계전자,대구 달서구,https://kr.indeed.com/viewjob?jk=d87dc8049ef2536f
"Software Engineer, University Graduate",Google,서울,https://kr.indeed.com/viewjob?jk=b86da88c2546f564
"Engr, Apps Dev 3",KLA-Tencor,대한민국,https://kr.indeed.com/viewjob?jk=afeaf9f2fdda7973
(주)아이옵스 소프트웨어 개발자,아이옵스,대전 유성구,https://kr.indeed.com/viewjob?jk=ae22088cdea0b40c
파이썬 신입 개발자 (정규직),쇼엠,인천 연수구,https://kr.indeed.com/viewjob?jk=144c42a3c09caa9b
"Customer Engineer, Machine Learning, Google Cloud Customers",Google,서울,https://kr.indeed.com/viewjob?jk=add880a19f345249
"2021년 인공지능, 블록체인 전문인력양성 1기 교육생",전주정보문화산업진흥원,전주 완산구,https://kr.indeed.com/viewjob?jk=cc92309fd5616195
디지털자산(암호화폐) 퀀트 트레이더 (경력),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=818d5c4e3d4e8c76
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=be95b5718905880f
전사 생산기술분야 경력사원,LG이노텍,경기도 평택,https://kr.indeed.com/viewjob?jk=d3a8770b5db1ab1b
[넥슨·엔씨소프트등] 자바·파이썬 응용SW 개발자 양성교육 · 동종업계 신입 초봉5천1,한국직업전문학교,서울 구로구,https://kr.indeed.com/viewjob?jk=4698c0e2364b5576
(주)브로드씨엔에스 2021년 정규직 경력직,브로드씨엔에스,서울 구로구,https://kr.indeed.com/viewjob?jk=098da87a3b27792c
[국비무료/기숙사지원] 2021 혁신성장 빅데이터 분석가 양성 교육생,고려대학교 세종캠퍼스,세종특별자치시 세종,https://kr.indeed.com/viewjob?jk=c180958f6ef66e09
2021년 상반기 R&D 개발자 (병역특례 가능/경력 무관),네오스텍,인천 연수구,https://kr.indeed.com/viewjob?jk=754be9e3d78fa802
Field Service Engineer,Nearfield Instruments,대한민국,https://kr.indeed.com/viewjob?jk=89f3e10d77a126bf
(주)엘솔루 R&D본부 ASR팀 개발직,㈜엘솔루,서울,https://kr.indeed.com/viewjob?jk=54178f9784d7126f
"아두이노 등 임베디드SW, 드론HW제작 신입/경력 정규직",탱고드론,성남 분당구,https://kr.indeed.com/viewjob?jk=9c3ac69509c6200c
(데이터개발) API플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=1c2dec1a2156f6aa
[SK바이오팜] 신입/경력사원,SK바이오팜,성남 분당구,https://kr.indeed.com/viewjob?jk=83cee700c633bcfd
21년 IT직무 경력사원,롯데정보통신,서울 금천구,https://kr.indeed.com/viewjob?jk=07f1ee457882c331
"교육운영, 교육기획 신입 인턴",매직에코,서울 성동구,https://kr.indeed.com/viewjob?jk=8eb22469c56dd7d9
Data Scientist,Motion2AI,서울,https://kr.indeed.com/viewjob?jk=2d3b7de44ce0cbeb
2021년 (신입) 전문연구요원 모집,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=9acc17c535b42959
2021년 혁신성장 청년인재 집중양성사업 교육생 (빅데이터/인공지능),한국생산성본부,서울 중구,https://kr.indeed.com/viewjob?jk=96f919d43a5c77b6
(전원인턴연계/전액무료) 정보보호산업 맞춤형 인재 양성과정 교육생,한국정보보호산업협회,서울,https://kr.indeed.com/viewjob?jk=beb32c9ff3afbadf
[대구]데이터 분석 연구원 (Python/R),드림아이디어소프트,대구 동구,https://kr.indeed.com/viewjob?jk=389765da1bee869b
그린뉴딜분야 연계형 교육 참여,사단법인 한국벰스협회,서울 구로구,https://kr.indeed.com/viewjob?jk=14076e1efa25f8da
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=69ab0f58743cb713
Field Application Engineer,Nearfield Instruments,대한민국,https://kr.indeed.com/viewjob?jk=6aebabcddef7f514
[신한저축은행] 경력직원,신한저축은행,서울 중구,https://kr.indeed.com/viewjob?jk=bc58d02a3ec4d31c
[Clova CIC] 언어 모델 연구 및 대화 시스템 개발 인턴사원 (체험형),네이버,서울,https://kr.indeed.com/viewjob?jk=fa4084196836b8bc
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/viewjob?jk=b5b88516a299bbb2
"[펜타시큐리티] 보안S/W 개발 및 기획자 (웹, 인증, 블록체인)",펜타시큐리티시스템,서울 영등포구,https://kr.indeed.com/viewjob?jk=17d4797ff9680366
(광주취업맛집1위)2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/viewjob?jk=b95d00f1145e5ef3
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,네이버,서울,https://kr.indeed.com/viewjob?jk=5d586ea25719e960
CHC – Business intelligence - TOM_2136,Sanofi,서울,https://kr.indeed.com/viewjob?jk=464ad076ec3e1fa0
11번가 클라우드 엔지니어 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=6f88d2f45b64a379
2021년 상반기 정보보안 엔지니어 - 취약점파트,인섹시큐리티,서울 금천구,https://kr.indeed.com/viewjob?jk=66d8a42fa933e7d0
"[펜타시큐리티] 보안S/W 개발 및 기획자 (웹, 인증, 블록체인)",펜타시큐리티시스템,서울 영등포구,https://kr.indeed.com/viewjob?jk=17d4797ff9680366
(광주취업맛집1위)2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/viewjob?jk=b95d00f1145e5ef3
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,네이버,서울,https://kr.indeed.com/viewjob?jk=5d586ea25719e960
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://kr.indeed.com/viewjob?jk=e934bb33ef71dacb
CHC – Business intelligence - TOM_2136,Sanofi,서울,https://kr.indeed.com/viewjob?jk=464ad076ec3e1fa0
11번가 클라우드 엔지니어 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=6f88d2f45b64a379
2021년 상반기 정보보안 엔지니어 - 취약점파트,인섹시큐리티,서울 금천구,https://kr.indeed.com/viewjob?jk=66d8a42fa933e7d0
AR App Engineer,Hyperconnect,서울,https://kr.indeed.com/viewjob?jk=4b15dd8e45f0fd01
[뉴플랫폼기술] 클라우드 개발자 - Kubernetes,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=68b91ae2f6c66fa3
AI/딥러닝기반 머신비전 비전센터 상반기 공개,유토시스,경기도 화성,https://kr.indeed.com/viewjob?jk=5efc4afdac9d87aa
2021 IT분야 경력직,위세아이텍,성남 분당구,https://kr.indeed.com/viewjob?jk=583c20483b4f707b
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
Operation Buyer(Contractor),Edwards Korea Ltd,충청남도 천안,https://kr.indeed.com/viewjob?jk=750bd649ca4aec64
각 분야별 인재 Pool 등록,지투알,서울,https://kr.indeed.com/viewjob?jk=a64e1e21f61265ce
"웹개발, JSP 외 신입/경력 정규직",소명소프트,서울 송파구,https://kr.indeed.com/viewjob?jk=21d0361b8cb5fc07
프로그래머 (어플리케이션 개발자 또는 웹개발자),오너클랜,서울 금천구,https://kr.indeed.com/viewjob?jk=08d5b1ce0e1f7cfa
소형전지사업부/기술혁신센터,삼성SDI,충청남도 천안,https://kr.indeed.com/viewjob?jk=089931931a0474d5
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
Network Engineer,Blizzard Entertainment,서울,https://kr.indeed.com/viewjob?jk=0224e8cd9aba5320
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/viewjob?jk=87309d3ff40ead61
